FILE_PATH;ORIG_CLASSES;GAUSS_SSIM;GAUSS_CLASSES;BLUR_SSIM;BLUR_CLASSES;GRAYSCALE_SSIM;GRAYSCALE_CLASSES;NEGATIVE_SSIM;NEGATIVE_CLASSES;ZOOM_SSIM;ZOOM_CLASSES
imagenette2/train/n01440764/n01440764_9973.JPEG;[['tench', 'n01440764', 99.99581575393677], ['barracouta', 'n02514041', 0.00381343015760649], ['reel', 'n04067472', 0.00020137752017035382], ['ear', 'n13133613', 5.7388211871511885e-05], ['coho', 'n02536864', 4.90580021050846e-05]];41.371156163784654;[['ear', 'n13133613', 72.30455279350281], ['corn', 'n12144580', 24.206870794296265], ['tench', 'n01440764', 1.8705947324633598], ['barracouta', 'n02514041', 0.7311172783374786], ['hotdog', 'n07697537', 0.1991715282201767]];36.40970247034653;[['tench', 'n01440764', 99.91403818130493], ['barracouta', 'n02514041', 0.0447019818238914], ['ear', 'n13133613', 0.012598208559211344], ['coho', 'n02536864', 0.00832605073810555], ['reel', 'n04067472', 0.0041763483750401065]];89.77998929728605;[['tench', 'n01440764', 45.524048805236816], ['rugby_ball', 'n04118538', 13.77284973859787], ['cowboy_boot', 'n03124043', 6.891532987356186], ['swing', 'n04371774', 5.5762894451618195], ['reel', 'n04067472', 3.2314661890268326]];-65.6669844695014;[['feather_boa', 'n03325584', 15.323902666568756], ['fountain', 'n03388043', 9.873449057340622], ['bonnet', 'n02869837', 8.022567629814148], ['power_drill', 'n03995372', 5.1052819937467575], ['breastplate', 'n02895154', 4.88252155482769]];6.820013036773205;[['tench', 'n01440764', 99.99972581863403], ['barracouta', 'n02514041', 0.00021297571493050782], ['reel', 'n04067472', 3.303258893083694e-05], ['coho', 'n02536864', 1.608271702480124e-05], ['zucchini', 'n07716358', 1.0368225389356667e-05]]
imagenette2/train/n01440764/n01440764_9966.JPEG;[['tench', 'n01440764', 99.90963935852051], ['barracouta', 'n02514041', 0.06249338621273637], ['jackfruit', 'n07754684', 0.025010789977386594], ['gar', 'n02641379', 0.0009902427336783148], ['sturgeon', 'n02640242', 0.0004766812708112411]];34.74197676367858;[['tench', 'n01440764', 85.7826828956604], ['miniature_poodle', 'n02113712', 4.2076632380485535], ['ice_bear', 'n02134084', 2.227279171347618], ['Lakeland_terrier', 'n02095570', 1.7954545095562935], ['Bedlington_terrier', 'n02093647', 1.4104300178587437]];58.46969334588451;[['tench', 'n01440764', 99.94133710861206], ['barracouta', 'n02514041', 0.04551633901428431], ['gar', 'n02641379', 0.0037757858081022277], ['coho', 'n02536864', 0.0020723784473375417], ['sturgeon', 'n02640242', 0.0016928004697547294]];89.2733031261084;[['tench', 'n01440764', 99.68157410621643], ['barracouta', 'n02514041', 0.2552022226154804], ['gar', 'n02641379', 0.055902666645124555], ['puffer', 'n02655020', 0.0030124097975203767], ['brain_coral', 'n01917289', 0.000959970748226624]];-41.838226108149875;[['feather_boa', 'n03325584', 58.066755533218384], ['puffer', 'n02655020', 12.216980755329132], ['toy_poodle', 'n02113624', 2.609364502131939], ['wig', 'n04584207', 2.5898532941937447], ['jellyfish', 'n01910747', 1.5355944633483887]];18.47900705186187;[['tench', 'n01440764', 99.77960586547852], ['barracouta', 'n02514041', 0.1560449250973761], ['gar', 'n02641379', 0.024630394182167947], ['jackfruit', 'n07754684', 0.01837854943005368], ['sturgeon', 'n02640242', 0.0036063167499378324]]
imagenette2/train/n01440764/n01440764_9939.JPEG;[['tench', 'n01440764', 99.53924417495728], ['barracouta', 'n02514041', 0.37434196565300226], ['coho', 'n02536864', 0.07237516110762954], ['gar', 'n02641379', 0.008289298421004787], ['sturgeon', 'n02640242', 0.004377248114906251]];30.431703013761112;[['tench', 'n01440764', 89.91727232933044], ['coho', 'n02536864', 3.025997616350651], ['sturgeon', 'n02640242', 1.1792772449553013], ['American_black_bear', 'n02133161', 0.7392309606075287], ['mushroom', 'n07734744', 0.6808731704950333]];55.98187258723159;[['tench', 'n01440764', 99.13395047187805], ['barracouta', 'n02514041', 0.5830213893204927], ['coho', 'n02536864', 0.20309146493673325], ['gar', 'n02641379', 0.029226724291220307], ['sturgeon', 'n02640242', 0.02805885742418468]];96.70116805561352;[['coho', 'n02536864', 77.99947261810303], ['barracouta', 'n02514041', 11.112352460622787], ['tench', 'n01440764', 7.138366997241974], ['military_uniform', 'n03763968', 1.1207569390535355], ['sturgeon', 'n02640242', 0.9371199645102024]];-65.3685775184628;[['altar', 'n02699494', 13.335148990154266], ['fountain', 'n03388043', 12.12163046002388], ['perfume', 'n03916031', 11.151250451803207], ['vestment', 'n04532106', 5.587783083319664], ['cloak', 'n03045698', 3.3668644726276398]];9.447987834013366;[['tench', 'n01440764', 99.99257326126099], ['barracouta', 'n02514041', 0.005712061101803556], ['coho', 'n02536864', 0.0013707167454413138], ['gar', 'n02641379', 0.00017083110606108676], ['sturgeon', 'n02640242', 0.000154516988004616]]
imagenette2/train/n01440764/n01440764_993.JPEG;[['tench', 'n01440764', 78.14980745315552], ['barracouta', 'n02514041', 12.64197826385498], ['reel', 'n04067472', 3.1510356813669205], ['coho', 'n02536864', 1.485934667289257], ['gar', 'n02641379', 0.9156125597655773]];29.709659865668637;[['jigsaw_puzzle', 'n03598930', 57.87510871887207], ['chain_saw', 'n03000684', 3.6794357001781464], ['malamute', 'n02110063', 3.6276135593652725], ['laptop', 'n03642806', 2.7169881388545036], ['stretcher', 'n04336792', 1.517320703715086]];44.80648379066689;[['tench', 'n01440764', 25.705695152282715], ['mountain_tent', 'n03792972', 22.57855236530304], ['barracouta', 'n02514041', 6.86318501830101], ['mousetrap', 'n03794056', 5.93118891119957], ['reel', 'n04067472', 3.700311854481697]];94.30870419463457;[['reel', 'n04067472', 35.193923115730286], ['hatchet', 'n03498962', 7.186673581600189], ['park_bench', 'n03891251', 4.544602334499359], ['rifle', 'n04090263', 3.521839529275894], ['television', 'n04404412', 2.903306484222412]];-55.50988753187037;[['breastplate', 'n02895154', 78.993159532547], ['mask', 'n03724870', 6.831853091716766], ['cuirass', 'n03146219', 3.0492398887872696], ['comic_book', 'n06596364', 1.7411481589078903], ['crash_helmet', 'n03127747', 0.9197459556162357]];7.011931221541722;[['tench', 'n01440764', 98.96789789199829], ['barracouta', 'n02514041', 0.82289082929492], ['gar', 'n02641379', 0.11795817408710718], ['coho', 'n02536864', 0.05549326888285577], ['sturgeon', 'n02640242', 0.019385824271012098]]
imagenette2/train/n01440764/n01440764_9929.JPEG;[['tench', 'n01440764', 99.89713430404663], ['barracouta', 'n02514041', 0.030591004178859293], ['tailed_frog', 'n01644900', 0.014762007049284875], ['platypus', 'n01873310', 0.014494662173092365], ['bullfrog', 'n01641577', 0.004701597208622843]];26.751611672002717;[['tench', 'n01440764', 76.66690945625305], ['electric_ray', 'n01496331', 5.953667312860489], ['stingray', 'n01498041', 5.157970637083054], ['badger', 'n02447366', 4.086930304765701], ['armadillo', 'n02454379', 1.288671512156725]];51.496376870963715;[['tench', 'n01440764', 84.0612530708313], ['mongoose', 'n02137549', 2.4148497730493546], ['polecat', 'n02443114', 2.361653745174408], ['common_newt', 'n01630670', 1.298666838556528], ['tailed_frog', 'n01644900', 0.7959620095789433]];97.21184948245356;[['tench', 'n01440764', 98.66846203804016], ['armadillo', 'n02454379', 0.31071279663592577], ['barracouta', 'n02514041', 0.26521808467805386], ['coho', 'n02536864', 0.1331885694526136], ['badger', 'n02447366', 0.09666802943684161]];-62.15387457794866;[['platypus', 'n01873310', 36.37658953666687], ['badger', 'n02447366', 18.028664588928223], ['wild_boar', 'n02396427', 8.064132183790207], ['hog', 'n02395406', 7.423289865255356], ['weasel', 'n02441942', 4.352045059204102]];13.714600418543322;[['tench', 'n01440764', 99.98371601104736], ['barracouta', 'n02514041', 0.011113660730188712], ['platypus', 'n01873310', 0.0026059207812068053], ['tailed_frog', 'n01644900', 0.00033365902254445245], ['polecat', 'n02443114', 0.0002953051762233372]]
imagenette2/train/n01440764/n01440764_9914.JPEG;[['tench', 'n01440764', 98.43435287475586], ['jean', 'n03594734', 0.13253320939838886], ['pug', 'n02110958', 0.12613043654710054], ['wool', 'n04599235', 0.11331618297845125], ['black-footed_ferret', 'n02443484', 0.09312446345575154]];24.08570237063432;[['black-footed_ferret', 'n02443484', 69.25102472305298], ['polecat', 'n02443114', 3.351953998208046], ['Siamese_cat', 'n02123597', 2.755998820066452], ['wool', 'n04599235', 1.8812928348779678], ['Pekinese', 'n02086079', 1.3269555754959583]];42.736079265185516;[['earthstar', 'n13044778', 13.226155936717987], ['triceratops', 'n01704323', 8.813520520925522], ['conch', 'n01943899', 6.033153831958771], ['puffer', 'n02655020', 4.975634813308716], ['tench', 'n01440764', 3.905116394162178]];98.57496651823347;[['black-footed_ferret', 'n02443484', 20.767314732074738], ['wool', 'n04599235', 14.759975671768188], ['mosquito_net', 'n03788365', 8.36610272526741], ['tench', 'n01440764', 8.152274042367935], ['nipple', 'n03825788', 5.016434192657471]];-43.07814985485712;[['electric_ray', 'n01496331', 19.740591943264008], ['mosquito_net', 'n03788365', 9.635505825281143], ['nipple', 'n03825788', 5.182047560811043], ['isopod', 'n01990800', 3.9727892726659775], ['window_screen', 'n04589890', 3.9357688277959824]];20.563998338016376;[['tench', 'n01440764', 93.82399320602417], ['rock_beauty', 'n02606052', 0.746438093483448], ['pug', 'n02110958', 0.45481002889573574], ['black-footed_ferret', 'n02443484', 0.3494543256238103], ['polecat', 'n02443114', 0.3437858074903488]]
imagenette2/train/n01440764/n01440764_9898.JPEG;[['tench', 'n01440764', 99.77366924285889], ['barracouta', 'n02514041', 0.18867625622078776], ['coho', 'n02536864', 0.027089699869975448], ['gar', 'n02641379', 0.0018182630810770206], ['sturgeon', 'n02640242', 0.0014083342648518737]];56.77825034130487;[['assault_rifle', 'n02749479', 7.082948833703995], ['oxygen_mask', 'n03868863', 5.4390691220760345], ['sleeping_bag', 'n04235860', 4.308854043483734], ['sunglass', 'n04355933', 3.8730986416339874], ['redbone', 'n02090379', 3.266303986310959]];73.86950985135202;[['thresher', 'n04428191', 27.10377275943756], ['ski', 'n04228054', 16.931256651878357], ['chain_saw', 'n03000684', 6.601803004741669], ['milk_can', 'n03764736', 4.118774831295013], ['tench', 'n01440764', 3.4559879451990128]];94.26539725554896;[['assault_rifle', 'n02749479', 80.37877678871155], ['rifle', 'n04090263', 11.43590435385704], ['bulletproof_vest', 'n02916936', 2.2909533232450485], ['military_uniform', 'n03763968', 1.301333587616682], ['binoculars', 'n02841315', 1.2522407807409763]];-37.17507536615396;[['oxygen_mask', 'n03868863', 66.35538935661316], ['screen', 'n04152593', 4.987557977437973], ['television', 'n04404412', 4.238787665963173], ['plastic_bag', 'n03958227', 3.976324200630188], ['home_theater', 'n03529860', 3.0581695958971977]];28.334172220255894;[['tench', 'n01440764', 99.95664954185486], ['barracouta', 'n02514041', 0.0417007424402982], ['sturgeon', 'n02640242', 0.000779347465140745], ['gar', 'n02641379', 0.00025571262085577473], ['coho', 'n02536864', 0.00020276563645893475]]
imagenette2/train/n01440764/n01440764_9893.JPEG;[['tench', 'n01440764', 99.8576283454895], ['eel', 'n02526121', 0.021754838235210627], ['coho', 'n02536864', 0.017291735275648534], ['bolete', 'n13054560', 0.013070972636342049], ['sea_cucumber', 'n02321529', 0.012763008999172598]];38.133256320641884;[['coho', 'n02536864', 22.353267669677734], ['tench', 'n01440764', 21.49149477481842], ['chain_saw', 'n03000684', 17.076879739761353], ['soft-coated_wheaten_terrier', 'n02098105', 3.3556561917066574], ['American_black_bear', 'n02133161', 2.869246155023575]];56.97738068087902;[['tench', 'n01440764', 99.7880220413208], ['swing', 'n04371774', 0.11319195618852973], ['zucchini', 'n07716358', 0.027577142463997006], ['jackfruit', 'n07754684', 0.010384943016106263], ['gar', 'n02641379', 0.004926869587507099]];98.1321586905125;[['swing', 'n04371774', 16.21200144290924], ['water_jug', 'n04560804', 13.170211017131805], ['tench', 'n01440764', 12.352533638477325], ['corn', 'n12144580', 10.616984218358994], ['cucumber', 'n07718472', 9.59814116358757]];-64.71107466962209;"[['water_jug', 'n04560804', 19.904303550720215], ['gown', 'n03450230', 17.692822217941284], [""potter's_wheel"", 'n03992509', 12.196741253137589], ['overskirt', 'n03866082', 6.803549826145172], ['perfume', 'n03916031', 5.3419191390275955]]";12.031498687394397;[['tench', 'n01440764', 99.9195396900177], ['barracouta', 'n02514041', 0.06255724583752453], ['coho', 'n02536864', 0.013620361278299242], ['gar', 'n02641379', 0.0011635817827482242], ['bolete', 'n13054560', 0.000577661239731242]]
imagenette2/train/n01440764/n01440764_9885.JPEG;[['tench', 'n01440764', 99.94418025016785], ['barracouta', 'n02514041', 0.05520227714441717], ['gar', 'n02641379', 0.00012855208524342743], ['sturgeon', 'n02640242', 3.949162135086226e-05], ['eel', 'n02526121', 3.5988961144539644e-05]];28.58871075948964;[['tench', 'n01440764', 86.20290160179138], ['barracouta', 'n02514041', 11.389535665512085], ['vestment', 'n04532106', 0.4818282090127468], ['eel', 'n02526121', 0.39716283790767193], ['gar', 'n02641379', 0.1796229276806116]];53.94640561081271;[['tench', 'n01440764', 99.99926090240479], ['barracouta', 'n02514041', 0.0006828789082646836], ['reel', 'n04067472', 1.0759998048115449e-05], ['croquet_ball', 'n03134739', 8.18121819179396e-06], ['squirrel_monkey', 'n02494079', 6.805792907016439e-06]];94.2027347083499;[['tench', 'n01440764', 98.62743020057678], ['barracouta', 'n02514041', 0.9571895934641361], ['coho', 'n02536864', 0.18931517843157053], ['barrel', 'n02795169', 0.034335334203206], ['military_uniform', 'n03763968', 0.02321152132935822]];-47.84530708586967;[['fountain', 'n03388043', 83.15736651420593], ['mosquito_net', 'n03788365', 3.131520003080368], ['hoopskirt', 'n03534580', 1.6212092712521553], ['perfume', 'n03916031', 0.7481757085770369], ['overskirt', 'n03866082', 0.745127722620964]];11.948905826141194;[['tench', 'n01440764', 99.7847318649292], ['barracouta', 'n02514041', 0.20878068171441555], ['gar', 'n02641379', 0.0052874860557494685], ['coho', 'n02536864', 0.00016934385485001258], ['armadillo', 'n02454379', 0.0001660317138885148]]
imagenette2/train/n01440764/n01440764_9875.JPEG;[['tench', 'n01440764', 88.56300115585327], ['eel', 'n02526121', 5.341118574142456], ['banana', 'n07753592', 1.3329501263797283], ['barracouta', 'n02514041', 0.8435964584350586], ['pineapple', 'n07753275', 0.4622064530849457]];19.46631473769103;[['tench', 'n01440764', 17.98214167356491], ['pineapple', 'n07753275', 11.019162833690643], ['ear', 'n13133613', 4.6998776495456696], ['Dungeness_crab', 'n01978287', 4.302883520722389], ['coho', 'n02536864', 3.9403431117534637]];84.52370220867103;[['artichoke', 'n07718747', 72.51510620117188], ['tench', 'n01440764', 18.91045570373535], ['pineapple', 'n07753275', 1.1172464117407799], ['banana', 'n07753592', 0.966231431812048], ['ear', 'n13133613', 0.9068996645510197]];90.00281721899324;[['tench', 'n01440764', 84.7256064414978], ['butcher_shop', 'n02927161', 3.768066316843033], ['coho', 'n02536864', 3.6824051290750504], ['eel', 'n02526121', 2.857629954814911], ['mushroom', 'n07734744', 1.751638762652874]];-15.593588451996604;[['snorkel', 'n04251144', 15.44584184885025], ['dugong', 'n02074367', 9.595458209514618], ['anemone_fish', 'n02607072', 5.946152284741402], ['shower_curtain', 'n04209239', 4.0597423911094666], ['sea_anemone', 'n01914609', 3.928764909505844]];24.298365598060283;[['tench', 'n01440764', 72.99944162368774], ['barracouta', 'n02514041', 10.981220752000809], ['eel', 'n02526121', 9.08573716878891], ['coho', 'n02536864', 2.5073330849409103], ['gar', 'n02641379', 1.5261881984770298]]
